ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000011260.9,27.33512288,0.031332867,0.186134089,0.168334922,0.866319802,0.999968843
ENSG00000011275.14,56.78931443,-0.002688105,0.132794196,-0.020242637,0.983849816,0.999968843
ENSG00000011295.10,89.48048734,0.052002882,0.171536945,0.303158497,0.761769077,0.999968843
ENSG00000011304.11,22.22024862,-0.151941189,0.308719936,-0.492165136,0.622602609,0.999968843
ENSG00000011332.15,58.84252377,0.075241852,0.23213768,0.324125974,0.745842663,0.999968843
ENSG00000011347.5,268.9804377,0.099334326,0.268207987,0.370363041,0.711112008,0.999968843
ENSG00000011376.5,48.58132054,-0.000139027,0.141188987,-0.000984687,0.999214334,0.999968843
ENSG00000011405.9,45.28252494,-0.089872976,0.257974468,-0.348379345,0.727555312,0.999968843
ENSG00000011426.6,175.6388502,-0.36418726,0.92730146,-0.392738797,0.694512412,0.999968843
ENSG00000011451.11,84.70721664,0.028705138,0.137493352,0.208774733,0.834624097,0.999968843
ENSG00000011454.12,141.3639614,-0.014897195,0.146467402,-0.101709969,0.918986889,0.999968843
ENSG00000011465.12,56.96036039,-0.192520708,0.392468803,-0.490537609,0.623753524,0.999968843
ENSG00000011485.10,101.7328928,0.041551331,0.169504166,0.245134569,0.806352237,0.999968843
ENSG00000011523.9,80.5047574,0.040012877,0.120842045,0.331117176,0.740555978,0.999968843
ENSG00000011600.6,15.21062995,-0.40460694,0.539539995,-0.74991093,0.453308351,0.999968843
ENSG00000011677.7,71.55578728,0.123060882,0.260387554,0.472606621,0.636493858,0.999968843
ENSG00000012061.11,49.53474259,-0.006437792,0.14379143,-0.044771734,0.964289255,0.999968843
ENSG00000012124.10,13.64590132,-0.438215226,0.774730094,-0.565635992,0.571641255,0.999968843
ENSG00000012171.13,87.40631944,-0.326184374,0.640468651,-0.509290147,0.610548863,0.999968843
ENSG00000012174.7,36.43096,-0.00565432,0.179504132,-0.031499667,0.974871057,0.999968843
