ensgene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol
ENSG00000139687,1188.6070507991435,0.3202399219199748,0.0638505675908721,5.015459282553902,5.290692861079905e-07,1.5674865630783293e-05,RB1
ENSG00000139697,1199.7610875365376,-0.007041854122982504,0.051993351683165066,-0.13543758759569613,0.8922659073007471,0.9640247799482382,SBNO1
ENSG00000139714,27.936165500290493,-0.1355921416961412,0.4100820512856483,-0.3306463700887329,0.7409116161235461,0.9038080494761526,MORN3
ENSG00000139718,969.2978436521456,0.23075845136713624,0.06812287981939918,3.387385441996886,0.0007056217844432171,0.007467893441666155,SETD1B
ENSG00000139719,203.69439906057087,-0.015805016619005914,0.09866662110676076,-0.1601860532135212,0.8727345154506607,0.9554568921442783,VPS33A
ENSG00000139722,377.6644033397618,-0.10066932142228746,0.1271183565844243,-0.7919337861753192,0.4283992854929405,0.707008860839792,VPS37B
ENSG00000139725,12.77536960821012,0.6440163808354025,0.4303001334128708,1.49666786233011,0.1344797025299341,0.36991041105418077,RHOF
ENSG00000139726,1119.2019995017297,0.012797358784961906,0.0955742226329063,0.13389969002537053,0.8934818954028647,0.9645415830498107,DENR
ENSG00000139734,169.62849199782232,0.5476394934410374,0.292362559761077,1.8731519312478877,0.06104740792182252,0.22262562192386023,DIAPH3
ENSG00000139746,822.5798766291624,-0.19718929490350923,0.13209888414301496,-1.4927400498707095,0.13550524542622966,0.3713868317726785,RBM26
ENSG00000139793,1671.8126797383406,0.5119554714053419,0.12288304020572052,4.16620121497864,3.097173578544978e-05,0.0005623501127796666,MBNL2
ENSG00000139826,357.8411916811105,0.3582183191903379,0.1237970126264901,2.8935942119308162,0.003808600146024227,0.028562336297827007,ABHD13
ENSG00000139832,91.67571354035384,0.5095703043075412,0.28626073029675436,1.7800915402517532,0.07506098084707889,0.2559055765623666,RAB20
ENSG00000139835,49.01033301113065,0.35066296050764173,0.34196535196100863,1.0254341806757803,0.30515836709004895,0.5940772420892346,GRTP1
ENSG00000139842,2091.7146771526996,0.16072113720366477,0.0447034835192344,3.5952709845198503,0.00032405409018234927,0.003973577756380963,CUL4A
ENSG00000139874,245.44756528832812,-0.11413992435576824,0.33938058588264514,-0.3363183667649063,0.7366308011144651,0.9024798925873703,SSTR1
ENSG00000139880,158.63480337295377,-0.7527843686042034,0.20309806829936744,-3.7065067871280584,0.00021013760738537436,0.002804338090198209,CDH24
ENSG00000139899,239.06877873384008,-0.23535882845927472,0.2981649890164129,-0.7893576949985871,0.42990297446320136,0.708384545406506,CBLN3
ENSG00000139908,35.348981178016004,-0.37281558910663914,0.2490773546118703,-1.4967863685865235,0.1344488543307634,0.36991041105418077,TSSK4
ENSG00000139910,307.4192120234947,-0.6064128567110267,0.19585262817316104,-3.09627122376358,0.001959710193560374,0.01681900452764673,NOVA1
ENSG00000139921,1100.8400794001363,0.2863749082426825,0.20580776678994128,1.3914679349053551,0.16408357650901062,0.415690996248058,TMX1
ENSG00000139926,5989.207779318172,-0.08718255569554818,0.11246225741786396,-0.7752161275903728,0.43821195989863326,0.7150818368003287,FRMD6
ENSG00000139946,386.8657757669878,-0.6695471431578919,0.16016397392627496,-4.18038543090902,2.9101540694547022e-05,0.000532792406924866,PELI2
ENSG00000139970,63.842845856707086,0.07795352635889717,1.1403225516112416,0.06836094423349882,0.9454983110550477,0.9824433744507279,RTN1
ENSG00000139971,109.2514484839625,-0.6052426579848232,0.3044188897282671,-1.988190215545034,0.04679065670330752,0.18544235670417883,ARMH4
ENSG00000139974,369.7999982996194,-0.2318198947462514,0.083158073323425,-2.787701608292908,0.0053083412880010495,0.03732056214239032,SLC38A6
ENSG00000139977,572.7208694857866,0.13303916871358995,0.09235751380433636,1.4404801865437775,0.1497315916889877,0.3955809117181317,NAA30
ENSG00000139985,15.022099405941072,-0.3305141616410582,0.3655208561339747,-0.904227915027411,0.3658745610099533,0.6537150759785779,ADAM21
ENSG00000139990,1226.208239028054,-0.238000156059544,0.09305309596608166,-2.557681220475419,0.0105372638223341,0.06300450860714124,DCAF5
ENSG00000139998,259.7972848285243,-0.16127064253931847,0.2634371549409372,-0.6121788043735723,0.5404194634209515,0.7886026103865056,RAB15
ENSG00000140006,60.57039266431207,-0.07573936755965371,0.1816629919298159,-0.4169223833377964,0.6767351808051305,0.8724118006327735,WDR89
ENSG00000140022,256.23110632004114,-0.9310011223998318,0.6750899212646265,-1.3790772059754857,0.16787095089508475,0.42109799582369406,STON2
ENSG00000140025,80.14590893528688,-0.48939233521839476,0.21727907791198658,-2.2523675078215923,0.024299057275510745,0.11706490811578217,EFCAB11
ENSG00000140043,90.19111438433974,-0.2640398539041638,0.2127465049063476,-1.2411007833966337,0.21456852020358985,0.48635854106458576,PTGR2
ENSG00000140044,1324.635186633298,-0.3239817640988651,0.16237729765412642,-1.995240521793669,0.04601665345397942,0.18324257314038364,JDP2
ENSG00000140092,9406.338228103628,0.32512526428892563,0.09675528614560051,3.3602842515463855,0.000778623176263792,0.008101856614845799,FBLN5
ENSG00000140104,182.8414700023033,-0.31733273469195056,0.1647831826440504,-1.9257592285823475,0.05413444452244728,0.2043459416550535,CLBA1
ENSG00000140105,2493.985111048182,-1.334434808372949,0.25430206129808475,-5.2474399993508785,1.5422725412032102e-07,5.299152059540405e-06,WARS1
ENSG00000140153,334.92095329763504,0.05978818750151356,0.11812474749843047,0.5061444681802004,0.6127552354405127,0.8338373622615117,WDR20
ENSG00000140157,617.3284549286583,0.15682332889223202,0.06918152790317841,2.2668381813091916,0.023400112751000644,0.11393312346165264,NIPA2
ENSG00000140181,2597.843821524467,-0.026291681113665352,0.2295287271122236,-0.11454636395387036,0.9088046951151877,0.969290457050263,
ENSG00000140199,709.9027248565893,-0.11441501189805571,0.1938284020262848,-0.5902902294088977,0.5549960887104961,0.7972348812826734,SLC12A6
ENSG00000140259,813.3440412601528,-0.16781208393561262,0.14187819085369233,-1.1827898489956348,0.2368924446032662,0.5144118080467929,MFAP1
ENSG00000140262,2885.648561115735,0.04788490814405141,0.06748815189686935,0.709530588676154,0.4779952763000255,0.744179083799072,TCF12
ENSG00000140263,227.61869015145862,-0.22946313635459145,0.2489441791478384,-0.9217453372079936,0.3566614261488267,0.6445100873265066,SORD
ENSG00000140264,2660.9293601681006,0.017837618006557338,0.158521343363018,0.11252502425309838,0.9104071292575763,0.9698195467121149,SERF2
ENSG00000140265,499.7546956981205,-0.27627669599302646,0.07890411549868694,-3.501423141833762,0.00046278043230097717,0.005331133606326333,ZSCAN29
